URL,image_urls,local_images,Election:,Party:,Constituency:,Mentions:,Issues Covered:,Unnamed: 8,Unnamed: 9,Unnamed: 10
https://www.openelections.co.uk/leaflets/28171/,['https://cdn.openelections.co.uk/uploads/2020/08/14489_1-1024x724.jpg'],['leaflet_images/28171/14489_1-1024x724.jpg'],2017 General Election,Labour Party,Cardiff North,"Candidate, Other party/leader/candidate","Economy, Education, Environment, Health",,,
https://www.openelections.co.uk/leaflets/28183/,['https://cdn.openelections.co.uk/uploads/2020/08/14492_1-603x1024.jpg'],['leaflet_images/28183/14492_1-603x1024.jpg'],2017 General Election,Conservative Party,Rutland and Melton,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/28195/,"['https://cdn.openelections.co.uk/uploads/2020/08/14496_1-1024x768.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14496_2-1024x768.jpg']","['leaflet_images/28195/14496_1-1024x768.jpg', 'leaflet_images/28195/14496_2-1024x768.jpg']",2017 General Election,Conservative Party,North West Norfolk,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/2820/,"['https://cdn.openelections.co.uk/uploads/2020/07/528_1-724x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/528_2-724x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/528_3-724x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/528_4-724x1024.jpg']","['leaflet_images/2820/528_1-724x1024.jpg', 'leaflet_images/2820/528_2-724x1024.jpg', 'leaflet_images/2820/528_3-724x1024.jpg', 'leaflet_images/2820/528_4-724x1024.jpg']",2010 General Election,Liberal Democrats,Cheltenham,"Candidate, Other party/leader/candidate, Party leader, Tactical situation","Economy, Environment, Governance, Health",,,
https://www.openelections.co.uk/leaflets/28213/,"['https://cdn.openelections.co.uk/uploads/2020/08/14503_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14503_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14503_3-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14503_4-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14503_5-768x1024.jpg']","['leaflet_images/28213/14503_1-768x1024.jpg', 'leaflet_images/28213/14503_2-768x1024.jpg', 'leaflet_images/28213/14503_3-768x1024.jpg', 'leaflet_images/28213/14503_4-768x1024.jpg', 'leaflet_images/28213/14503_5-768x1024.jpg']",2017 General Election,Conservative Party,Bexhill and Battle,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/28221/,['https://cdn.openelections.co.uk/uploads/2020/08/14505_1-725x1024.jpg'],['leaflet_images/28221/14505_1-725x1024.jpg'],2017 General Election,Labour Party,Carlisle,"Candidate, Other party/leader/candidate","Education, Environment, Health",,,
https://www.openelections.co.uk/leaflets/2823/,['https://cdn.openelections.co.uk/uploads/2020/07/530_1-1024x727.jpg'],['leaflet_images/2823/530_1-1024x727.jpg'],2010 General Election,Liberal Democrats,Cambridge,"Candidate, Tactical situation","Economy, Environment, Social welfare",,,
https://www.openelections.co.uk/leaflets/28240/,"['https://cdn.openelections.co.uk/uploads/2020/08/14510_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14510_2-768x1024.jpg']","['leaflet_images/28240/14510_1-768x1024.jpg', 'leaflet_images/28240/14510_2-768x1024.jpg']",2017 General Election,Labour Party,Southampton Test,Other party/leader/candidate,Social welfare,,,
https://www.openelections.co.uk/leaflets/28251/,['https://cdn.openelections.co.uk/uploads/2020/08/14512_1-722x1024.jpg'],['leaflet_images/28251/14512_1-722x1024.jpg'],2017 General Election,Labour Party,Hertsmere,Candidate,"Brexit/Europe, Economy, Education, Environment, Health",,,
https://www.openelections.co.uk/leaflets/28267/,['https://cdn.openelections.co.uk/uploads/2020/08/14517_1-1024x768.jpg'],['leaflet_images/28267/14517_1-1024x768.jpg'],2017 General Election,Labour Party,Slough,Other party/leader/candidate,Health,,,
https://www.openelections.co.uk/leaflets/28271/,['https://cdn.openelections.co.uk/uploads/2020/08/14518_1-723x1024.jpg'],['leaflet_images/28271/14518_1-723x1024.jpg'],2017 General Election,Liberal Democrats,Milton Keynes South,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/2828/,"['https://cdn.openelections.co.uk/uploads/2020/07/534_1-1024x726.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/534_2-1024x726.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/534_3-1024x726.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/534_4-1024x726.jpg']","['leaflet_images/2828/534_1-1024x726.jpg', 'leaflet_images/2828/534_2-1024x726.jpg', 'leaflet_images/2828/534_3-1024x726.jpg', 'leaflet_images/2828/534_4-1024x726.jpg']",2010 General Election,Conservative Party,Winchester,"Candidate, Other party/leader/candidate, Party leader",Environment,,,
https://www.openelections.co.uk/leaflets/28292/,"['https://cdn.openelections.co.uk/uploads/2020/08/14524_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14524_2-768x1024.jpg']","['leaflet_images/28292/14524_1-768x1024.jpg', 'leaflet_images/28292/14524_2-768x1024.jpg']",2017 General Election,Labour Party,Southend West,"Candidate, Other party/leader/candidate","Economy, Education, Health",,,
